question-id,item,grammartical_item,construct,encoding
q1817,give money to beggars,i give money to beggars,not assigned,
q1818,give people a second chance,i give people a second chance,not assigned,
q1819,give people good advice,i give people good advice,not assigned,
q1820,give priority to my own interests,i give priority to my own interests,not assigned,
q1821,give to panhandlers,i give to panhandlers,not assigned,
q1822,give unsolicited advice,i give unsolicited advice,not assigned,
q1823,give up easily,i give up easily,competence,-1.0
q1824,go into situations expecting nothing but the worst to occur,i go into situations expecting nothing but the worst to occur,not assigned,
q1825,go my own way,i go my own way,sociability,-1.0
q1826,go off on a lot of tangents,i go off on a lot of tangents,not assigned,
q1827,go on binges,i go on binges,stability,-1.0
q1828,go on nature walks,i go on nature walks,construction/mechanical interests,1.0
q1829,go on shopping sprees,i go on shopping sprees,not assigned,
q1830,go out of my way for others,i go out of my way for others,nurturance,1.0
q1831,go out of my way to attend educational events,i go out of my way to attend educational events,love of learning,1.0
q1832,go out of my way to cheer up people who appear down,i go out of my way to cheer up people who appear down,kindness/generosity,1.0
q1833,go out of my way to help people who are suffering,i go out of my way to help people who are suffering,not assigned,
q1834,go out of my way to meet people,i go out of my way to meet people,not assigned,
q1835,go straight for the goal,i go straight for the goal,achievement-striving,1.0
q1836,go through money quickly,i go through money quickly,not assigned,
q1837,go to bed immediately if i feel that i am getting sick,i go to bed immediately if i feel that i am getting sick,not assigned,
q1838,go to the doctor a lot,i go to the doctor a lot,not assigned,
q1839,go too far with jokes,i go too far with jokes,not assigned,
q1840,gossip about others,i gossip about others,not assigned,
q1841,got in trouble a lot at school,i got in trouble a lot at school,norm violation,1.0
q1842,grow stiff for awhile,i grow stiff for awhile,not assigned,
q1843,grumble about things,i grumble about things,empathy,-1.0
q1844,guide my life using religious scriptures,i guide my life using religious scriptures,traditionalism,1.0
q1845,habitually blow my chances,i habitually blow my chances,impulse-control,-1.0
q1846,had a hangover,i had a hangover,interest in drinking,1.0
q1847,had a poor appetite,i had a poor appetite,depression,1.0
q1848,had crying spells,i had crying spells,depression,1.0
q1849,had restless sleep,i had restless sleep,depression,1.0
q1850,had someone over for dinner,i had someone over for dinner,gregariousness,1.0
q1851,had the experience of being accused of lying when i did not think i had lied,i had the experience of being accused of lying when i did not think i had lied,dissociation,1.0
q1852,had the experience of being in a familiar place but finding it strange and unfamiliar,i had the experience of being in a familiar place but finding it strange and unfamiliar,dissociation,1.0
q1853,had the experience of feeling as though i was standing next to myself or watching myself as if i was looking at a different person,i had the experience of feeling as though i was standing next to myself or watching myself as if i was looking at a different person,dissociation,1.0
q1854,had the experience of feeling that my body did not belong to me,i had the experience of feeling that my body did not belong to me,dissociation,1.0
q1855,had the experience of feeling that other people objects and the world around me were not real,i had the experience of feeling that other people objects and the world around me were not real,dissociation,1.0
q1856,had the experience of looking in a mirror and not recognizing myself,i had the experience of looking in a mirror and not recognizing myself,dissociation,1.0
q1857,had the experience of not being sure whether things i remember happening really did happen or whether i just dreamed them,i had the experience of not being sure whether things i remember happening really did happen or whether i just dreamed them,dissociation,1.0
q1858,had the experience of remembering a past event so vividly that it felt like i was reliving that event,i had the experience of remembering a past event so vividly that it felt like i was reliving that event,dissociation,1.0
q1859,had thoughts about death,i had thoughts about death,depression,1.0
q1860,had trouble keeping my mind on what i was doing,i had trouble keeping my mind on what i was doing,depression,1.0
q1861,handle problems as well as anyone else,i handle problems as well as anyone else,not assigned,
q1862,handle tasks smoothly,i handle tasks smoothly,purposefulness,1.0
q1863,hang around doing nothing,i hang around doing nothing,achievement-striving,-1.0
q1864,hang up the phone on people,i hang up the phone on people,politeness,-1.0
q1865,hardly ever finish things on time,i hardly ever finish things on time,not assigned,
q1866,hate being the center of attention,i hate being the center of attention,self-monitoring,-1.0
q1867,hate parting with old things,i hate parting with old things,not assigned,
q1868,hate standing in lines,i hate standing in lines,not assigned,
q1869,hate surprises,i hate surprises,adventurousness,-1.0
q1870,hate to hear about the successes of others,i hate to hear about the successes of others,not assigned,
q1871,hate to see anyone suffer even my worst enemy,i hate to see anyone suffer even my worst enemy,forgiveness/mercy,1.0
q1872,hate to seem pushy,i hate to seem pushy,positive expressivity,1.0
q1873,hate to wait for my turn in line or in a game,i hate to wait for my turn in line or in a game,not assigned,
q1874,hate waiting for anything,i hate waiting for anything,not assigned,
q1875,have a broad outlook on what is going on,i have a broad outlook on what is going on,wisdom/perspective,1.0
q1876,have a calming influence,i have a calming influence,not assigned,
q1877,have a colorful and dramatic way of talking about things,i have a colorful and dramatic way of talking about things,not assigned,
q1878,have a conscience,i have a conscience,not assigned,
q1879,have a conventional lifestyle,i have a conventional lifestyle,not assigned,
q1880,have a could not care less attitude,i have a could not care less attitude,not assigned,
q1881,have a dark depraved or evil side that i keep to myself,i have a dark depraved or evil side that i keep to myself,not assigned,
q1882,have a dark outlook on the future,i have a dark outlook on the future,hope/optimism,-1.0
q1883,have a good memory,i have a good memory,not assigned,
q1884,have a good memory for things i have done throughout the day,i have a good memory for things i have done throughout the day,cognitive problems,-1.0
q1885,have a good memory for things i have down throughout the day,i have a good memory for things i have down throughout the day,not assigned,
q1886,have a good sense of physical balance,i have a good sense of physical balance,not assigned,
q1887,have a good word for everyone,i have a good word for everyone,empathy,1.0
q1888,have a great sense of humor,i have a great sense of humor,humor/playfulness,1.0
q1889,have a hard time cheering myself up,i have a hard time cheering myself up,not assigned,
q1890,have a hard time keeping my feelings in check,i have a hard time keeping my feelings in check,not assigned,
q1891,have a high opinion of myself,i have a high opinion of myself,modesty/humility,-1.0
q1892,have a history of talking back to parents or teachers,i have a history of talking back to parents or teachers,not assigned,
q1893,have a lot of fun,i have a lot of fun,anhedonia,-1.0
q1894,have a low opinion of myself,i have a low opinion of myself,leadership,-1.0
q1895,have a mature view on life,i have a mature view on life,wisdom/perspective,1.0
q1896,have a mouth that gets me into trouble,i have a mouth that gets me into trouble,rudeness,1.0
q1897,have a natural talent for influencing people,i have a natural talent for influencing people,machiavellianism,1.0
q1898,have a negative view of the future,i have a negative view of the future,not assigned,
q1899,have a negative view of the world,i have a negative view of the world,not assigned,
q1900,have a plan for what i want to be doing five years from now,i have a plan for what i want to be doing five years from now,not assigned,
q1901,have a pleasing physique,i have a pleasing physique,physical attractiveness,1.0
q1902,have a point of view all my own,i have a point of view all my own,introspection/private self-consciousness,1.0
q1903,have a poor vocabulary,i have a poor vocabulary,comprehension,-1.0
q1904,have a quiet laugh,i have a quiet laugh,not assigned,
q1905,have a rebellious side that gets me into trouble,i have a rebellious side that gets me into trouble,norm violation,1.0
q1906,have a reputation for asking inappropriate questions,i have a reputation for asking inappropriate questions,rudeness,1.0
q1907,have a rich vocabulary,i have a rich vocabulary,language mastery,1.0
q1908,have a sharp tongue,i have a sharp tongue,gentleness,-1.0
q1909,have a slow pace to my life,i have a slow pace to my life,achievement-striving,-1.0
q1910,have a soft heart,i have a soft heart,nurturance,1.0
q1911,have a special ability to know what will happen before it happens,i have a special ability to know what will happen before it happens,not assigned,
q1912,have a strong need for power,i have a strong need for power,dominance,1.0
q1913,have a strong personality,i have a strong personality,assertiveness,1.0
q1914,have a strong physique,i have a strong physique,not assigned,
q1915,have a thin body,i have a thin body,not assigned,
q1916,have a very good imagination,i have a very good imagination,not assigned,
q1917,have a violent temper,i have a violent temper,anger,1.0
q1918,have a vivid imagination,i have a vivid imagination,creativity/originality,1.0
q1919,have all my senses intact,i have all my senses intact,not assigned,
q1920,have all the material things i really need to enjoy life,i have all the material things i really need to enjoy life,not assigned,
q1921,have already gotten more than i deserve,i have already gotten more than i deserve,docility,1.0
q1922,have always been a rule-breaker,i have always been a rule-breaker,norm violation,1.0
q1923,have always been completely fair to others,i have always been completely fair to others,not assigned,
q1924,have always been suspicious of other people,i have always been suspicious of other people,not assigned,
q1925,have an attractive face,i have an attractive face,not assigned,
q1926,have an excellent view of the world,i have an excellent view of the world,wisdom/perspective,1.0
q1927,have an eye for detail,i have an eye for detail,curiosity,1.0
q1928,have an imagination that stretches beyond that of my friends,i have an imagination that stretches beyond that of my friends,creativity/originality,1.0
q1929,have an intense boisterous laugh,i have an intense boisterous laugh,expressiveness,1.0
q1930,have an uncommon ability to persuade or inspire others,i have an uncommon ability to persuade or inspire others,hypomanic exhibitionism,1.0
q1931,have as much money as i need,i have as much money as i need,not assigned,
q1932,have attacked someone physically,i have attacked someone physically,not assigned,
q1933,have attacks that resemble an epileptic fit,i have attacks that resemble an epileptic fit,not assigned,
q1934,have attempted to kill myself,i have attempted to kill myself,not assigned,
q1935,have avoided situations or people for fear that i would get sick,i have avoided situations or people for fear that i would get sick,not assigned,
q1936,have bad luck,i have bad luck,not assigned,
q1937,have bad manners,i have bad manners,not assigned,
q1938,have bad things happen to me for no reason,i have bad things happen to me for no reason,not assigned,
q1939,have banged my head against the wall on purpose,i have banged my head against the wall on purpose,not assigned,
q1940,have beautiful ideals in my heart,i have beautiful ideals in my heart,not assigned,
q1941,have become extremely jealous in my lifetime,i have become extremely jealous in my lifetime,not assigned,
q1942,have been accused of being too protective in romantic relationships,i have been accused of being too protective in romantic relationships,not assigned,
q1943,have been arrested at least once in the past,i have been arrested at least once in the past,not assigned,
q1944,have been arrested multiple times,i have been arrested multiple times,not assigned,
q1945,have been called a cheapskate,i have been called a cheapskate,not assigned,
q1946,have been depressed for much of my life,i have been depressed for much of my life,not assigned,
q1947,have been described as a jealous person by others,i have been described as a jealous person by others,not assigned,
q1948,have been described as unusual,i have been described as unusual,not assigned,
q1949,have been described as wise beyond my years,i have been described as wise beyond my years,wisdom/perspective,1.0
q1950,have been in trouble for failing to live up to my responsibilities,i have been in trouble for failing to live up to my responsibilities,not assigned,
q1951,have been in trouble for mouthing off to my boss,i have been in trouble for mouthing off to my boss,not assigned,
q1952,have been known to fly off the handle when distressed,i have been known to fly off the handle when distressed,not assigned,
q1953,have been left speechless by the beauty depicted in a movie,i have been left speechless by the beauty depicted in a movie,aesthetic appreciation/artistic interests,1.0
q1954,have been physically cruel to animals or even other people,i have been physically cruel to animals or even other people,not assigned,
q1955,have been richly blessed in my life,i have been richly blessed in my life,gratitude,1.0
q1956,have been told by others that my thinking patterns do not make sense,i have been told by others that my thinking patterns do not make sense,not assigned,
q1957,have been told i am not listening when others are speaking to me,i have been told i am not listening when others are speaking to me,adhd,1.0
q1958,have been told that i am difficult to understand,i have been told that i am difficult to understand,not assigned,
q1959,have been told that i am rigid and inflexible,i have been told that i am rigid and inflexible,rigidity,1.0
q1960,have been told that i am strange or weird,i have been told that i am strange or weird,not assigned,
q1961,have been told that i have horrible table manners,i have been told that i have horrible table manners,not assigned,
q1962,have been told that i have trust issues in relationships,i have been told that i have trust issues in relationships,not assigned,
q1963,have been told that i neglect other important parts of my life because i work so hard,i have been told that i neglect other important parts of my life because i work so hard,not assigned,
q1964,have been told that my behavior often is bizarre,i have been told that my behavior often is bizarre,peculiarity,1.0
q1965,have been told that my medical problems are all in my head,i have been told that my medical problems are all in my head,not assigned,
q1966,have been told that my stories do not make sense,i have been told that my stories do not make sense,not assigned,
q1967,have been told to slow down and take it easy,i have been told to slow down and take it easy,not assigned,
q1968,have broken into someone elses house or car,i have broken into someone elses house or car,not assigned,
q1969,have broken things when angry,i have broken things when angry,not assigned,
q1970,have complete confidence in my doctor,i have complete confidence in my doctor,not assigned,
q1971,have crying fits,i have crying fits,imperturbability,-1.0
q1972,have days when i am mad at the world,i have days when i am mad at the world,calmness,-1.0
q1973,have deliberately not done my best,i have deliberately not done my best,not assigned,
q1974,have deliberately risked my safety because i thought that it was the right thing to do,i have deliberately risked my safety because i thought that it was the right thing to do,not assigned,
q1975,have difficulty accepting love from anyone,i have difficulty accepting love from anyone,capacity for love,-1.0
q1976,have difficulty concentrating on the job at hand when i hear good news,i have difficulty concentrating on the job at hand when i hear good news,not assigned,
q1977,have difficulty doing my work,i have difficulty doing my work,not assigned,
q1978,have difficulty expressing my feelings,i have difficulty expressing my feelings,extraversion,-1.0
q1979,have difficulty feeling happy,i have difficulty feeling happy,not assigned,
q1980,have difficulty fitting in,i have difficulty fitting in,not assigned,
q1981,have difficulty getting others to work together,i have difficulty getting others to work together,leadership,-1.0
q1982,have difficulty getting rid of nasty thoughts,i have difficulty getting rid of nasty thoughts,obsessive-compulsive symptoms,1.0
q1983,have difficulty imagining things,i have difficulty imagining things,intellect,-1.0
q1984,have difficulty keeping a conversation going,i have difficulty keeping a conversation going,not assigned,
q1985,have difficulty keeping my attention on a task,i have difficulty keeping my attention on a task,adhd,1.0
q1986,have difficulty keeping things in mind,i have difficulty keeping things in mind,cognitive-failures,1.0
q1987,have difficulty showing affection,i have difficulty showing affection,positive expressivity,-1.0
q1988,have difficulty starting tasks,i have difficulty starting tasks,efficiency,-1.0
q1989,have difficulty understanding abstract ideas,i have difficulty understanding abstract ideas,intellectual openness,-1.0
q1990,have done many terrible things,i have done many terrible things,not assigned,
q1991,have done many things for which i could have been (or was) arrested,i have done many things for which i could have been (or was) arrested,norm violation,1.0
q1992,have done things to deface my body,i have done things to deface my body,not assigned,
q1993,have done things to myself that others might find brutal,i have done things to myself that others might find brutal,not assigned,
q1994,have eerie feelings,i have eerie feelings,not assigned,
q1995,have excellent ideas,i have excellent ideas,intellect,1.0
q1996,have experienced a spiritual force that is greater than any human being,i have experienced a spiritual force that is greater than any human being,not assigned,
q1997,have exploited others for my own gain,i have exploited others for my own gain,manipulativeness,1.0
q1998,have extra time on my hands,i have extra time on my hands,industriousness/perseverance/persistence,-1.0
q1999,have fantasized about my funeral,i have fantasized about my funeral,not assigned,
q2000,have feelings that i cannot quite identify,i have feelings that i cannot quite identify,not assigned,
q2001,have felt contact with a divine power,i have felt contact with a divine power,not assigned,
q2002,have felt so good during numerous moments in my life that i could not imagine feeling any better,i have felt so good during numerous moments in my life that i could not imagine feeling any better,not assigned,
q2003,have felt the presence of another person when he or she was not really there,i have felt the presence of another person when he or she was not really there,not assigned,
q2004,have felt the presence of god / a higher power,i have felt the presence of god / a higher power,not assigned,
q2005,have few interests,i have few interests,curiosity,-1.0
q2006,have fixed opinions,i have fixed opinions,rigidity,1.0
q2007,have found that it takes a lot to make me feel truly happy,i have found that it takes a lot to make me feel truly happy,not assigned,
q2008,have frequent mood swings,i have frequent mood swings,calmness,-1.0
q2009,have frequent thoughts about death,i have frequent thoughts about death,not assigned,
q2010,have friends who belong to very different groups of people,i have friends who belong to very different groups of people,not assigned,
q2011,have friends who have very different beliefs from mine,i have friends who have very different beliefs from mine,not assigned,
q2012,have frightening dreams,i have frightening dreams,not assigned,
q2013,have gathered the means to kill myself,i have gathered the means to kill myself,not assigned,
q2014,have given myself a scar intentionally,i have given myself a scar intentionally,not assigned,
q2015,have given up hope,i have given up hope,not assigned,
q2016,have good luck,i have good luck,not assigned,
q2017,have good presence of mind,i have good presence of mind,not assigned,
q2018,have gotten better with age,i have gotten better with age,not assigned,
q2019,have gotten into more fights than most people,i have gotten into more fights than most people,not assigned,
q2020,have gotten the important things i want in my life,i have gotten the important things i want in my life,not assigned,
q2021,have great stamina,i have great stamina,liveliness,1.0
q2022,have guilty thoughts that i cannot get out of my mind,i have guilty thoughts that i cannot get out of my mind,not assigned,
q2023,have had conflicts with the police,i have had conflicts with the police,not assigned,
q2024,have had dreams of committing suicide,i have had dreams of committing suicide,not assigned,
q2025,have had intense religious experiences,i have had intense religious experiences,not assigned,
q2026,have had strong impulses to just end it all,i have had strong impulses to just end it all,not assigned,
q2027,have had the feeling that i might not be human,i have had the feeling that i might not be human,unusual experiences,1.0
q2028,have had the feeling that i was someone else,i have had the feeling that i was someone else,unusual experiences,1.0
q2029,have had the feeling that my thoughts were audible,i have had the feeling that my thoughts were audible,not assigned,
q2030,have had the feeling that other people have injected their thoughts into my mind,i have had the feeling that other people have injected their thoughts into my mind,not assigned,
q2031,have had the sensation of being hypnotized,i have had the sensation of being hypnotized,not assigned,
q2032,have had the strange experience in which things seem more real than usual,i have had the strange experience in which things seem more real than usual,not assigned,
q2033,have had thoughts of suicide,i have had thoughts of suicide,not assigned,
q2034,have hired a private detective to see if my partner/spouse was cheating on me,i have hired a private detective to see if my partner/spouse was cheating on me,not assigned,
q2035,have hit myself purposely with heavy objects,i have hit myself purposely with heavy objects,not assigned,
q2036,have ideas that are very strange,i have ideas that are very strange,not assigned,
q2037,have intense religious experiences which influence me in a strong manner,i have intense religious experiences which influence me in a strong manner,not assigned,
q2038,have intentionally burned my own skin,i have intentionally burned my own skin,not assigned,
q2039,have intentionally done myself physical harm,i have intentionally done myself physical harm,not assigned,
q2040,have intentionally given myself alcohol poisoning,i have intentionally given myself alcohol poisoning,not assigned,
q2041,have leadership abilities,i have leadership abilities,social boldness,1.0
q2042,have learned how to get others to do things for me,i have learned how to get others to do things for me,not assigned,
q2043,have learned that it is dangerous to believe what people say,i have learned that it is dangerous to believe what people say,not assigned,
q2044,have little confidence in my decisions,i have little confidence in my decisions,not assigned,
q2045,have little desire for sex or romance,i have little desire for sex or romance,romantic disinterest,1.0
q2046,have little interest in hobbies and other activities,i have little interest in hobbies and other activities,not assigned,
q2047,have little left to live for,i have little left to live for,not assigned,
q2048,have little patience for slackers,i have little patience for slackers,not assigned,
q2049,have little respect for my superiors,i have little respect for my superiors,not assigned,
q2050,have little respect for the police,i have little respect for the police,not assigned,
q2051,have little sympathy for the unemployed,i have little sympathy for the unemployed,empathy,-1.0
q2052,have little to contribute,i have little to contribute,self-efficacy,-1.0
q2053,have little to say,i have little to say,friendliness,-1.0
q2054,have lived in all 50 states in the usa,i have lived in all 50 states in the usa,not assigned,
q2055,have lost friends due to my jealousy,i have lost friends due to my jealousy,not assigned,
q2056,have lost relationships due to my jealousy,i have lost relationships due to my jealousy,not assigned,
q2057,have lots of symptoms that do not make any sense to me or those around me,i have lots of symptoms that do not make any sense to me or those around me,not assigned,
q2058,have made a suicide plan in the past,i have made a suicide plan in the past,not assigned,
q2059,have many piercings,i have many piercings,not assigned,
q2060,have many valuable material possessions,i have many valuable material possessions,not assigned,
q2061,have medical problems that my doctors do not understand,i have medical problems that my doctors do not understand,health anxiety,1.0
q2062,have mood swings that are completely out of control,i have mood swings that are completely out of control,not assigned,
q2063,have murderous ideas,i have murderous ideas,not assigned,
q2064,have nerves of steel,i have nerves of steel,not assigned,
q2065,have never attended a college or university,i have never attended a college or university,not assigned,
q2066,have never been in trouble with the law,i have never been in trouble with the law,not assigned,
q2067,have never cared much what others thought of me,i have never cared much what others thought of me,not assigned,
q2068,have never considered myself a positive or happy person,i have never considered myself a positive or happy person,not assigned,
q2069,have never deliberately hurt anyone,i have never deliberately hurt anyone,prudence,1.0
q2070,have never engaged in gossip,i have never engaged in gossip,unlikely virtues,1.0
q2071,have never felt real joy,i have never felt real joy,not assigned,
q2072,have never given bad advice to a friend,i have never given bad advice to a friend,wisdom/perspective,1.0
q2073,have never given serious thought to ending my life,i have never given serious thought to ending my life,not assigned,
q2074,have never had a loyal friend,i have never had a loyal friend,not assigned,
q2075,have never hated anyone,i have never hated anyone,not assigned,
q2076,have new ideas for improving things,i have new ideas for improving things,not assigned,
q2077,have no interest in long-term romantic relationships,i have no interest in long-term romantic relationships,not assigned,
q2078,have no interest in making new friends,i have no interest in making new friends,not assigned,
q2079,have no need for close friendships,i have no need for close friendships,not assigned,
q2080,have no objection to stepping on other peoples toes if it is to my advantage,i have no objection to stepping on other peoples toes if it is to my advantage,not assigned,
q2081,have no opinions of my own,i have no opinions of my own,not assigned,
q2082,have no plan for my life five years from now,i have no plan for my life five years from now,hope/optimism,-1.0
q2083,have no problem defying the wishes of people in command,i have no problem defying the wishes of people in command,not assigned,
q2084,have no secrets,i have no secrets,not assigned,
q2085,have no special urge to do something original,i have no special urge to do something original,creativity/originality,-1.0
q2086,have no sympathy for criminals,i have no sympathy for criminals,rationality,1.0
q2087,have no sympathy for rule-breakers,i have no sympathy for rule-breakers,not assigned,
q2088,have no trouble controlling my anger,i have no trouble controlling my anger,not assigned,
q2089,have no trouble eating healthy foods,i have no trouble eating healthy foods,self-control/self-regulation,1.0
q2090,have no will to live,i have no will to live,not assigned,
q2091,have not created something of beauty in the last year,i have not created something of beauty in the last year,aesthetic appreciation/artistic interests,-1.0
q2092,have noticed that different letters of the alphabet have different colors,i have noticed that different letters of the alphabet have different colors,not assigned,
q2093,have noticed that different odors have different colors,i have noticed that different odors have different colors,not assigned,
q2094,have noticed that friends or family become frustrated with my mood swings,i have noticed that friends or family become frustrated with my mood swings,not assigned,
q2095,have noticed that i put my work ahead of too many other things,i have noticed that i put my work ahead of too many other things,workaholism,1.0
q2096,have noticed that lying comes easily to me,i have noticed that lying comes easily to me,not assigned,
q2097,have noticed that my emotions get me into trouble when i am stressed,i have noticed that my emotions get me into trouble when i am stressed,not assigned,
q2098,have noticed that my friends have often betrayed me,i have noticed that my friends have often betrayed me,not assigned,
q2099,have noticed that people sometimes try to make me look foolish,i have noticed that people sometimes try to make me look foolish,not assigned,
q2100,have occasionally disliked someone,i have occasionally disliked someone,not assigned,
q2101,have occasionally had the feeling that a tv or radio broadcaster knew i was listening to him,i have occasionally had the feeling that a tv or radio broadcaster knew i was listening to him,not assigned,
q2102,have often been punished without a good reason,i have often been punished without a good reason,not assigned,
q2103,have out-of-body experiences,i have out-of-body experiences,not assigned,
q2104,have overcome pain and disappointment,i have overcome pain and disappointment,bravery/courage/valor,1.0
q2105,have persuaded others to do something really adventurous or crazy,i have persuaded others to do something really adventurous or crazy,risk-taking/sensation-seeking/thrill-seeking,1.0
q2106,have physical sensations that even doctors do not understand,i have physical sensations that even doctors do not understand,not assigned,
q2107,have physically threatened someone to get what i want,i have physically threatened someone to get what i want,not assigned,
q2108,have planned out exactly how i will die,i have planned out exactly how i will die,not assigned,
q2109,have problems with my eyesight,i have problems with my eyesight,not assigned,
q2110,have purposely cut myself to the point of scarring,i have purposely cut myself to the point of scarring,not assigned,
q2111,have read a lot,i have read a lot,love of reading,1.0
q2112,have read the great literary classics,i have read the great literary classics,aesthetic appreciation/artistic interests,1.0
q2113,have recently found an original solution to a problem in my life,i have recently found an original solution to a problem in my life,creativity/originality,1.0
q2114,have saved so many things that they get in the way,i have saved so many things that they get in the way,not assigned,
q2115,have second thoughts,i have second thoughts,not assigned,
q2116,have secret strategies,i have secret strategies,not assigned,
q2117,have sensed strange smells that others do not sense,i have sensed strange smells that others do not sense,not assigned,
q2118,have severe mood swings,i have severe mood swings,not assigned,
q2119,have some bad habits,i have some bad habits,unlikely virtues,-1.0
q2120,have sometimes felt incredibly intense pleasure,i have sometimes felt incredibly intense pleasure,not assigned,
q2121,have sometimes had to tell a lie,i have sometimes had to tell a lie,unlikely virtues,-1.0
q2122,have special problems,i have special problems,not assigned,
q2123,have spent at least 30 minutes in the last 24 hours in prayer or meditation,i have spent at least 30 minutes in the last 24 hours in prayer or meditation,spirituality/religiousness,1.0
q2124,have spied on a romantic partner because i thought he/she was cheating on me,i have spied on a romantic partner because i thought he/she was cheating on me,not assigned,
q2125,have spread gossip as a way to get back at someone,i have spread gossip as a way to get back at someone,not assigned,
q2126,have started many fist fights in my life,i have started many fist fights in my life,not assigned,
q2127,have stolen things from time to time,i have stolen things from time to time,not assigned,
q2128,have stolen things many times,i have stolen things many times,not assigned,
q2129,have strong emotional reactions to everyday hassles,i have strong emotional reactions to everyday hassles,not assigned,
q2130,have strong reactions to even minor problems in my life,i have strong reactions to even minor problems in my life,not assigned,
q2131,have strong sexual urges,i have strong sexual urges,not assigned,
q2132,have strong urges sometimes to hurt myself,i have strong urges sometimes to hurt myself,not assigned,
q2133,have taken frequent stands in the face of strong opposition,i have taken frequent stands in the face of strong opposition,bravery/courage/valor,1.0
q2134,have taken pills with the intention of making myself sick,i have taken pills with the intention of making myself sick,not assigned,
q2135,have taken things that were not mine,i have taken things that were not mine,not assigned,
q2136,have the ability to be a good teacher,i have the ability to be a good teacher,not assigned,
q2137,have the ability to make others feel interesting,i have the ability to make others feel interesting,social/personal/emotional intelligence,1.0
q2138,have the feeling of being directed or controlled from outside like a puppet on a string,i have the feeling of being directed or controlled from outside like a puppet on a string,not assigned,
q2139,have the power to cast spells on others,i have the power to cast spells on others,irrational beliefs,1.0
q2140,have thought about the best way to die,i have thought about the best way to die,not assigned,
q2141,have thought about writing a suicide note,i have thought about writing a suicide note,not assigned,
q2142,have thoughts of injuring myself,i have thoughts of injuring myself,self-harm,1.0
q2143,have thoughts of murdering people,i have thoughts of murdering people,not assigned,
q2144,have thoughts of torturing or harming others,i have thoughts of torturing or harming others,not assigned,
q2145,have threatened to kill myself,i have threatened to kill myself,not assigned,
q2146,have time for play and relaxation,i have time for play and relaxation,humor/playfulness,1.0
q2147,have to be on guard against spells which strangers may cast upon me,i have to be on guard against spells which strangers may cast upon me,not assigned,
q2148,have to hurt myself to relieve stress,i have to hurt myself to relieve stress,not assigned,
q2149,have too little time to do what is needed,i have too little time to do what is needed,not assigned,
q2150,have too many things to do,i have too many things to do,industriousness/perseverance/persistence,1.0
q2151,have too many thoughts that confuse me and others,i have too many thoughts that confuse me and others,not assigned,
q2152,have tried to poison myself,i have tried to poison myself,not assigned,
q2153,have trouble admitting to mistakes,i have trouble admitting to mistakes,not assigned,
q2154,have trouble changing my behavior to suit the situation,i have trouble changing my behavior to suit the situation,not assigned,
q2155,have trouble coping when something goes wrong,i have trouble coping when something goes wrong,not assigned,
q2156,have trouble dealing with even the smallest problems,i have trouble dealing with even the smallest problems,not assigned,
q2157,have trouble deciding even simple things like where to eat dinner,i have trouble deciding even simple things like where to eat dinner,not assigned,
q2158,have trouble getting interested in things,i have trouble getting interested in things,anhedonia,1.0
q2159,have trouble guessing how others will react,i have trouble guessing how others will react,creativity/originality,-1.0
q2160,have trouble opening up to people,i have trouble opening up to people,not assigned,
q2161,have trouble relaxing even with family or friends,i have trouble relaxing even with family or friends,not assigned,
q2162,have trouble resisting the temptation of doing forbidden things,i have trouble resisting the temptation of doing forbidden things,not assigned,
q2163,have trouble throwing away even worthless junk,i have trouble throwing away even worthless junk,not assigned,
q2164,have unpredictable emotions and moods,i have unpredictable emotions and moods,affective lability,1.0
q2165,have unusual beliefs about the world,i have unusual beliefs about the world,not assigned,
q2166,have urges to cut myself,i have urges to cut myself,self-harm,1.0
q2167,have used confidential information for my own gain,i have used confidential information for my own gain,not assigned,
q2168,have used illegal drugs,i have used illegal drugs,not assigned,
q2169,have vandalized other peoples property,i have vandalized other peoples property,not assigned,
q2170,have very high standards for the behavior of others,i have very high standards for the behavior of others,not assigned,
q2171,have written a suicide note,i have written a suicide note,self-harm,1.0
q2172,hear sounds from nearby as if they come from far away,i hear sounds from nearby as if they come from far away,not assigned,
q2173,hear voices talking about me when nobody is really there,i hear voices talking about me when nobody is really there,unusual experiences,1.0
q2174,hear voices that others cannot,i hear voices that others cannot,not assigned,
q2175,help my friends,i help my friends,not assigned,
q2176,help others learn new ideas,i help others learn new ideas,altruism,1.0
q2177,help others only when there is something in it for me,i help others only when there is something in it for me,not assigned,
q2178,help people even when i do not want to because it is the right thing to do,i help people even when i do not want to because it is the right thing to do,not assigned,
q2179,help people make career decisions,i help people make career decisions,altruism,1.0
q2180,helped a neighbor in the last month,i helped a neighbor in the last month,kindness/generosity,1.0
q2181,hide my real intentions,i hide my real intentions,depth,-1.0
q2182,hide whatever is important to me,i hide whatever is important to me,not assigned,
q2183,hold a grudge,i hold a grudge,cooperation,-1.0
q2184,hold back my opinions,i hold back my opinions,extraversion,-1.0
q2185,hold grudges,i hold grudges,forgiveness/mercy,-1.0
q2186,hold myself and others to very high standards,i hold myself and others to very high standards,not assigned,
q2187,honor all the vows i have made,i honor all the vows i have made,not assigned,
q2188,hope that i am never a nuisance to anyone,i hope that i am never a nuisance to anyone,not assigned,
q2189,hug my close friends,i hug my close friends,positive expressivity,1.0
q2190,hurry my work,i hurry my work,not assigned,
