,impressions,age,gender,id,target,fold,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
268,I think this person enjoys humor and is an extrovert. I think they are considerate of other people.,54.0,2,5df861926aab7c5f659dfd85,29.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
269,"Fun, in a way that is carefully considerate of others. But not very good at caring for himself, maybe.",63.0,2,62dc177e02f82aabb20aebc2,30.0,10.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,4.0,,,,,,,,,,
270,"I think this person likes to make fun of themselves and others in jest, but has some insecurities and struggles with some depression.",30.0,1,5c8ebadedd631d000136f915,2.0,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,2.0,,2.0,,,
271,"They seem kind of low-esteem and self-depreciating. Maybe they work in a position that is not very high up in the organization, and deep down they have doubts that they should ever see advancement. ",35.0,1,5ff3dd153986cc9fd8a6ba4f,3.0,2.0,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,4.0,,2.0,,,
272,I believe they are introverted with a group of close friends.,33.0,1,5e63e793e50a6316a75213c4,4.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,2.0,,,,,,,
273,They seem like they would be fun to be around but they seem to have insecurities about themselves.,57.0,2,60b63b1f1d8a6fc4d72d5328,21.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,2.0,,,,,,,
274,they like to be funny. they don't put themselves down very often. they don't hurt people by their humor.,73.0,2,5bc913d99427200001dd47f5,22.0,6.0,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
275,Seems like a fun person to be around.  They may be a little depressed though.  Sounds like the don't open up to folks/are kind of a private person.  They also may not have a lot of confidence in themself.  ,63.0,1,64029de99a8a72fc5a205b7e,61.0,4.0,,,,,,5.0,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,
276,This person will joke and laugh at anyone and everything  especially if its not funny appropriate  or will come off offensive.  Even if it hurts bothers or belittles others and ot himself. I think this person needs some trauma healing and or therapy.,39.0,2,5daf758895628c0017e6e1f9,45.0,10.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,1.0,,,,,,,,,,
277,they seem funny and kind,30.0,1,62f58a7129fb13cf46a08ae0,46.0,4.0,,,,,,5.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
278,"They seem to really rely on humor to get through life and bond with others, but it also makes them come off as a bully in some situations",22.0,2,5df12d8b53e84603acbf5319,44.0,9.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
279,He is confident that he's funny in almost all situations and doesn't have much regard for the sensibilities of others.,63.0,1,6081ca47eeed1bb51c1d7f7b,16.0,8.0,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,
280,He enjoys making people laugh but tends not to offend people. ,67.0,1,628555bb109cc99491b8f04b,6.0,7.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,
281,This person seems to value humor in their life but also seems to have some issue setting limits as to when it is appropriate to use humor. On a couple of the questions they indicated that they will make fun of people when they make a mistake. The person also seems to enjoy self-deprecting humor a lot. That says to me that they may have some issues with self-esteem.,72.0,2,622a4d6cf143081ed1887ee5,56.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
282,"This person seems to me like an introvert, who is somewhat unsure of themselves, but wants to have relationships with others and be liked.",50.0,2,5a16f199fe645f0001ea039c,20.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,
283,They seems to love to joke and laugh with friends and don’t like to be mean by putting others down with negative remarks ,56.0,2,610c56ddc029efbacb229c71,26.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,,
284,They kind of have a dry sense of humor. ,40.0,1,614becce61f2753af92727bb,60.0,7.0,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,
285,They seem to be a person who uses humor quite a bit to deal with life's issues,35.0,1,5608a73fd7def20012b7389d,42.0,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,2.0,,1.0,,,
286,"This person finds humor in everyday life but is not terribly concerned with keeping people in hysterics, especially at a cost to their person or that of others.",40.0,2,608349d97d46ab71fc6c7111,31.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,1.0,,,,,,,
287,"Outgoing, sociable and at times friendly, however, they stated they also downed others when things were not going well for them and enjoyed putting others down.",32.0,1,5dac4dad5e53cc001499f1f6,39.0,9.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
288,"Flakey, changing, inconsistent",36.0,1,5dd3e3cd5daaa63c5fdb7bb8,12.0,2.0,,,,,,,,,,,,,,,4.0,,5.0,,,,,,,,,,2.0,,5.0,,,
289,Kind of schizophrenically unfunny and maybe goes a bit too hard at their friends/company,39.0,1,63f78bee27421366beb7b211,15.0,4.0,,,,,,3.0,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,
291,they stand up for themselves but are willing to let people get a good laugh about them at times,21.0,2,60fe22572fbdc4993e5c2e50,25.0,6.0,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
292,They are quite intriguing ,27.0,1,63e52919456a8ddfde596343,9.0,10.0,,,,,,,,,,,,,4.0,,,3.0,,,,,,2.0,,,,,,,,,,
293,"Nice, caring, not an asshole",43.0,1,5c6d5477e8833000015244ad,41.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,2.0,,1.0,,,
294,"They are somewhat introverted in that they don’t always express what they are feeling, but they have a good sense of humor and are mostly emotionally stable.",69.0,2,63af5c586c05eee8c3d03730,36.0,10.0,,,,,,,,,,,,,2.0,,,3.0,,,,,,4.0,,,,,,,,,,
295,This is confident in himself/herself.  Has no low self-esteem.  Respects himself/herself.,55.0,1,5e542a0c4b7e8c42fafa7216,14.0,4.0,,,,,,1.0,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,
296,This person is somewhat isolated and uses humor to avoid other uncomfortable feelings.,49.0,1,5fbb89e20ddd50a66ab62a67,7.0,8.0,,,,,,,,4.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,
297,"They can dish it out, but they can't take it. They will laugh at others expense but not at themselves.",60.0,2,5d3db5cb98775f001769ad10,38.0,10.0,,,,,,,,,,,,,4.0,,,5.0,,,,,,2.0,,,,,,,,,,
298,"They are very confident and love humor, they are laughing a lot and causing other people to laugh.",26.0,1,61005a9bfd2f14f18ef7ec7d,22.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,4.0,
299,They are very nonconfrontational,29.0,1,56522521812a980005fe67cc,2.0,10.0,,,,,,,,,,,,,4.0,,,3.0,,,,,,5.0,,,,,,,,,,
300,Hopeless ,29.0,1,6312ada1ce715ee3916c3748,52.0,8.0,,,,,,,,2.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,
301,not self depreicating,30.0,1,5b4d31673d01bd0001ec447e,53.0,6.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
302,They are uncomfortable with awkwardness in social situations and actively needs to cover up with humor.,40.0,2,63cf0dd2b84f94d8fbef0011,50.0,7.0,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,
303,"This person seems pretty grounded, willing to self-deprecate (but not in a bad/negative way) if/when situations seem right to do so in order to help others feel better or smile more, and overall seems to have a healthy sense of humor (not being overly giddy about it and not being inappropriate about it either).",53.0,1,62686c6e90a0f6fe0a6c646a,53.0,8.0,,,,,,,,3.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,
304,This person seems to be very straight laced and doesn't really joke around. They seem like they need to loosen up some and not be so serious all the time ,42.0,2,5f03b9bb0207bf5ee50faf41,5.0,4.0,,,,,,4.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,
305,They seem to be okay with making fun of themselves but they’re not okay with others being made fun of or insulted and laughed at. ,50.0,2,5e2926d80beb030ede110e67,11.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,
306,they seem to like humor but not if it's mean-spirited or at their own expense,27.0,1,617612aa86abe09e0c69b7f2,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,4.0,
307,I think they are a very outgoing person and they always know what the right thing to say is in a humorous situation.,30.0,1,60f2a2b4932fed5326988e0f,47.0,2.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,2.0,,1.0,,,
308,This person is noring and has no personality at all. THey are self conscious and insecure.,66.0,1,6234b2b5e6b80ea7060d458a,8.0,6.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
309,likes to joke around but serious about self and others,29.0,1,628feaaa86e683cdbebf98a0,55.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,1.0,,1.0,,,
310,likes to use humor to deflect,40.0,2,614fe09fec9ce4a2a415476d,40.0,10.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,2.0,,,,,,,,,,
311,I think they don't think they have a very good sense of humor overall,40.0,1,570d22b35e5156000efd8bd5,57.0,7.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
312,sensitive to other peoples feelings,56.0,1,6344590912e9e0ebb41d518c,37.0,2.0,,,,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,1.0,,2.0,,,
313,"Someone that enjoys humor in all situations. They do not use much self depricating humor, but don't mind making fun of others with jokes. Humor seems to be a main way they connect with other people.",34.0,2,5bbc4bd1f83ac60001fe665e,48.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
314,"Light hearted, dominating ",23.0,2,604e9ee68314bd949421ccd7,32.0,6.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
315,"I think this person like so joke around with other people. However, they seem to be mostly sad and humor does not tend to help them when they are emotional",27.0,1,62b10d376cda94ec0cd6c1e3,3.0,6.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
316,He seems a little confusing.  Some of the answers make me think about what a great sense of humor and then other answers make me think he's kind of sarcastic.,64.0,2,63841b0a77166c22d8b325f5,49.0,8.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,
317,They seem very serious and like they don't have much of a sense of humor.,29.0,2,5b147696d282ff00015c2c4e,32.0,9.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
318,This person possesses a good sense of humor and maintains a positive outlook on life.,62.0,2,606609111ba10f35596db018,41.0,4.0,,,,,,4.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
319,"conservative, kind, has a close circle of friends",31.0,2,63f808544404ae2bd9790bd6,34.0,2.0,,,,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,1.0,,3.0,,,
320,They are slightly bland,20.0,2,610decef66e40420979d76ef,57.0,1.0,,,2.0,,,,,,,,3.0,2.0,,,,,,,,,,,4.0,,,,,,,,,
321,He’s a fun loving comedian ,48.0,1,5be8dab5d153f500019ab320,54.0,4.0,,,,,,4.0,,,3.0,,,,,,,,,5.0,,,,,,,,,,,,,,
322,I think this person is a funny individual who does not really care if their jokes offend someone.,21.0,2,6116a5715df1ce8da68a0ad1,35.0,7.0,,,,,3.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,
323,"seems like a sensitive, somewhat not funny person",42.0,1,633f6d8b53e5f194a6f73724,9.0,6.0,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
324,they are weak and lt people get over on them,57.0,1,610c54c190d4d2399972b294,28.0,9.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
325,I am think this person has a sense of humor and is a character but respectful,49.0,2,63cc5fddd5813c609d5b28d5,56.0,2.0,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,1.0,,1.0,,,
326,This person appreciates humor but typically doesn’t use it as a tool to make fun of others or themself.,47.0,1,6401fd151290ec6208934232,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,5.0,
327,Affected by humor,19.0,1,6314d97aa02af651ea1a9591,19.0,8.0,,,,,,,,2.0,,3.0,,,,,,,,,,4.0,,,,,,,,,,,,
328,This person does not like laughing or making fun of other people or themselves. This is a kind hearted person.,45.0,1,63bd8d4ca46f8313570e6fa4,55.0,7.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,5.0,,
329,My impression is this person likes to laugh but not at his/her own expense.  The person doesn't look for humor in stressful situations.  ,65.0,2,5e7694014add7908e8cedec2,5.0,10.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,3.0,,,,,,,,,,
330,A jokester and a bit of a jerk,60.0,1,604dff87be5115f1266d3963,16.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,3.0,
331,They have a humorous side but don't tease people.,40.0,2,5f24b0fc546c5a0c3c2e43b6,47.0,1.0,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,4.0,,,,,,,,,
332,I think they're somewhat serious but also kind,29.0,1,5e3760815bfa436fd256b2e9,23.0,6.0,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
333,"This person seems to like humor and use it to entertain themselves and to entertain, but does not to make jokes about themselves that put themselves down or others and seems to be a likeable kind of person....positive and fun. ",53.0,2,63c068ce0fbe9f6e7790e09d,58.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,,,4.0,
334,Open minded but guarded,57.0,1,63851a60c17919eed0c53dfa,45.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,2.0,
335,The person seems fine ,36.0,1,5ee3c98e981e6a09d47cf615,50.0,1.0,,,1.0,,,,,,,,5.0,2.0,,,,,,,,,,,3.0,,,,,,,,,
336,"Not totally sure of themselves but opens up around family and friends, Kind towards others, not the ""funny one""",31.0,2,5ff501a5c92b36cd57eb1bc1,34.0,7.0,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,
337,He likes to have friends and not take himself too seriously,27.0,1,5be08e69610cba000151f1f7,38.0,6.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
338,"This person appreciates humor and being a funny individual. The person isn't bothered by putting others down if it gets a laugh. However, this person doesn't want to put themselves down to get a laugh. Humor doesn't necessarily cheer them up when they're feeling bad.",64.0,2,5934a676e7866d0001618b81,27.0,8.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
339,"This person seems to be popular with other people. They seem to appreciate jokes and comedy, to the point of sometimes putting themselves down to make others laugh.",26.0,2,60c56282b8b616780c1012b4,6.0,9.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
340,"Self-deprecatory, putting others' needs before their own, perhaps has been through some drama, bit of a sad clown",34.0,2,5ec17a2e02be030625eaff6e,40.0,9.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
341,This person is a lot like me - they like to use humor to lighten up tense situations. They also like to mock themselves but hesitate to put others down with their humor.,57.0,2,6266db0dcf3e4f16fb9d7c56,10.0,7.0,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,
342,He is serious most of the time and concerned about his self image.,39.0,1,5dfab99508267580dcdafe05,26.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
343,"He/she seems like a funny, likeable person.",74.0,1,5e8804c63ac81448c5ab0fa5,58.0,10.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,2.0,,,,,,,,,,
344,"This person is sensitive, sociable, and thinks of himself as funny.",30.0,1,63616240cc69594f32b0ff2e,46.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,3.0,,,,,,,,,,
345,I think they are a serious person,43.0,2,5dd362ad7b6a66368c77004c,17.0,9.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
346,I think they are a person who likes to laugh.,41.0,1,597b81f3de42bf000181db0b,61.0,2.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,3.0,,,
347,I think they’re a good person ,29.0,2,6316212c1109a3b1bac89fe6,13.0,6.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
348,This person is outgoing and fun to be around. Might be a little cynical and sarcastic. ,20.0,1,613bb4d9b8e5f4512cb40a5d,45.0,1.0,,,5.0,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,
349,This person seems to be very serious most of the time and is rarely not serious,21.0,1,61451e21a303bee08cbb86ea,14.0,6.0,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
350,"This person uses humor to amuse people and make them like him/her. They are not cruel, though, in that they don't use humor to deliberately hurt others. They like attention and use humor to get it.",62.0,2,633f050f498936a87592181c,29.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
351,This person is just human.,57.0,1,616f315b5e74ca5b9a1d2ca7,15.0,8.0,,,,,,,,4.0,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,
352,This person enjoys comedy and making others laugh.,34.0,2,5c560b6fccb08c0001e134a8,13.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,1.0,,,,,,,
353,This person is kind and enjoys laughing with their friends.,27.0,2,5f8f9f84c51c5c21ad7b356a,2.0,7.0,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,
354,They are somewhat introverted but do have a sense of humor. They are choosy when they use it.,35.0,1,5dbd597b2d098c2ac14806b2,22.0,10.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,3.0,,,,,,,,,,
355,"This person seems cautious, measured, and calm.",35.0,2,63d40c35b4ca8b31994cc34c,31.0,6.0,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
356,They like to push the boundaries with their friends but in the end they are always there for them ,38.0,1,62e97dfea1a1ef00cb9f0b10,39.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,1.0,,,,,,,
357,"Likes to joke around, but never about themself",30.0,1,63d7b1a0af0a978609a30e3b,12.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
358,"This person likes humor, but doesn't like to use it too much to put themselves or others down.",57.0,1,60faefcf667e07570bed9dcb,60.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
359,They are a fun-loving person.,29.0,1,5c2c62542c45d400014a32e6,35.0,1.0,,,2.0,,,,,,,,2.0,5.0,,,,,,,,,,,4.0,,,,,,,,,
360,THis person fels confident in making peopel laugh and seems carefree.,34.0,1,59ea4e1116ecc200016ff81e,51.0,4.0,,,,,,2.0,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,
361,"They seem to take delight in making fun of others, but have a hard time making fun of themselves.",52.0,1,636c2c5de21b3d5ba69db1b7,27.0,6.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
362,Believes they are quite funny but very emotional and self-protective.,54.0,1,614f3e97778b4788ee17e8e7,21.0,4.0,,,,,,3.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,
363,"Serious, mean-spirited, unfunny",35.0,1,590208c89571f50001c666e3,7.0,4.0,,,,,,2.0,,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,
364,Serious person ,56.0,1,6114b416d9c506518392523e,23.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,3.0,,,,,,,
365,It is someone who has a healthy sense of self and good sense of humor without offending others,46.0,2,5f0c7ea47cf1495f4587f741,54.0,2.0,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,1.0,,2.0,,,
366,"Pretentious, uptight, and stuffy.",50.0,1,60885d559ca52f07dd234260,59.0,10.0,,,,,,,,,,,,,4.0,,,5.0,,,,,,3.0,,,,,,,,,,
367,They are an honest person ,37.0,2,6278038e3c9ead31c9a91a09,25.0,8.0,,,,,,,,2.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,
368,nice but weird,33.0,1,5ff4c408705a1f74b81bbb74,28.0,1.0,,,1.0,,,,,,,,4.0,4.0,,,,,,,,,,,3.0,,,,,,,,,
369,This person is self conscious and humorless,40.0,2,5d654282986878001c2a5db7,14.0,7.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,
370,A funny person that uses humor to an extent where it might affect them negatively in the long term.,22.0,1,5d17ce93ac37cd0019535088,61.0,9.0,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
371,They like to be silly and make jokes but they don't mean to hurt people's feelings. They don't like when other people are made fun of and it's hard to be funny when you're sad.,46.0,2,5c6f2e7632cb70000169b490,30.0,6.0,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0
372,THis person has crippling self doubts and tries to use humor as a coping tool.,75.0,1,5c2414b8101408000140617a,8.0,10.0,,,,,,,,,,,,,5.0,,,1.0,,,,,,1.0,,,,,,,,,,
373,This is a person who enjoys humorous situations and using humor to cope with life's issues.,36.0,1,5c3c1617f5ebd500018596cb,20.0,7.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
374,"I think they are nice and thoughtful,",20.0,2,60fe5c33f291d6b48032ba98,37.0,8.0,,,,,,,,1.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,
375,They are a kindhearted person who wears their heart on their sleeve.,42.0,1,63614fa10ba3ae81af14d17f,34.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,5.0,,,,,,,,,
376,The person seems somewhat lonely but has a sense of humor. He or so does not like to use humor to out others down.,61.0,2,609c6cc79875c8f0ba5d2242,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,4.0,
377,"They don't use humor as a coping mechanism, and they don't make jokes about people, not even themselves",31.0,1,5bdbf2d92562330001b8d056,33.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,5.0,
378,They seem to deal with stress or anxiety with humor to cope. But they seem like a good person.,47.0,1,56c79f6cc41c43000c0886b0,29.0,10.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,1.0,,,,,,,,,,
379,someone who thinks they are funny and in good spirits. ,38.0,1,6413dd7eadc09e71fa198000,54.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,3.0,
380,This person has a good sense of humor.,45.0,1,633dbb46887d82536a9ee265,36.0,4.0,,,,,,5.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
381,"This person seems kind of private, but has a decent sense of self-esteem. I feel like they might be introverted.",21.0,2,602a8f9033061909d48b1d04,32.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,2.0,,,,,,,
382,a companionable easy going and humorous person,74.0,1,5e5ae01d75f13d2efe7db45e,24.0,10.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,1.0,,,,,,,,,,
383,FUNNY SOMETIMES RUDE,24.0,1,63d14eca0fd7e8476aff6652,44.0,8.0,,,,,,,,4.0,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,
384,"I think this is a good-natured, humble person",55.0,2,60fdd635d896e5b5e23bd88c,11.0,8.0,,,,,,,,3.0,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,
385,"This person seems extroverted and lively, with a good sense of humor, but they're not usually mean to themselves or others.",29.0,2,614dd9c7fe3afb375e947a27,2.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
386,Someone who likes laugh and joking but not at themselves ,46.0,2,6361acb07d0d241c339ab52b,51.0,1.0,,,4.0,,,,,,,,5.0,1.0,,,,,,,,,,,5.0,,,,,,,,,
387,Seriou s humorous but not at ones own self,39.0,2,5d30eee5e7ca2e001bd4091b,31.0,4.0,,,,,,4.0,,,5.0,,,,,,,,,3.0,,,,,,,,,,,,,,
388,"The person seems to enjoy humor, but also feels a bit depressed. I noticed they don't let people put them down or put down others.",28.0,2,609f528fba531c5195b6cd4e,30.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,2.0,,,,,,,
389,good sense of humor,58.0,1,63386e75b02c4d7013c1198b,43.0,10.0,,,,,,,,,,,,,4.0,,,3.0,,,,,,4.0,,,,,,,,,,
390,They become very serious when they are upset and don't like when others joke around about it ,40.0,2,5beccd423b6489000156596f,5.0,6.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
391,this person has little regard for others.,53.0,1,6341b7b2e340e467cab1363b,28.0,6.0,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
392,For the most part is a very funny yet sensitive person,63.0,2,601736d3f57edd250d376de9,58.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
393,Fun-loving person who doesn't take things too seriously.,52.0,1,5e04b9be7adf4bf23f066a2a,4.0,4.0,,,,,,3.0,,,3.0,,,,,,,,,4.0,,,,,,,,,,,,,,
394,self-deprecating style that puts a lot of value on humor ,67.0,1,5d1511f1e814b800016108a6,42.0,6.0,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
395,"Arrogant, fake, unlikeable ",36.0,2,60f478bd79adf8819a73fa56,48.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,
396,They are a pretty negative person. I am not sure in would enjoy spending time with them,45.0,1,63e53d570132a56f38a678ee,7.0,7.0,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,
397,"This person seemed perhaps to be randomly choosing their answers, as many consecutive answers directly contradicted each other",42.0,1,633dbba020f607c3522b86ed,6.0,4.0,,,,,,3.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
398,"low self-esteem. Needs attention to feel good. Not overall a bad person, but is not wholly considerate of themselves or others.",36.0,1,63fffd232a889b722046523c,49.0,9.0,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
399,I feel like they are easy going. ,33.0,1,5ff2240a2f567121402762e6,13.0,2.0,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,2.0,,4.0,,,
400,"They are respectful of themselves and other, slightly introverted but if necessary, extroverted. They have the ability to stand up for themselves if they face someone they dont like",27.0,1,5ba3223a68b542000112c1b6,19.0,9.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
401,They seem to be somewhat jovial and enjoys humor.,54.0,2,5d0eb8f40c09d600174dca28,21.0,2.0,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,,4.0,,2.0,,,
402,This person seems good natured. They appear to be concerned about other's feelings. They like humor but don't go overboard with it. ,58.0,2,6272ae90bcc3709d723d1d2b,9.0,2.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,4.0,,3.0,,,
403,"This person likes to laugh, but also sometimes makes himself the center of the joke, allowing others to laugh at him.  He seems witty and funny. ",38.0,2,63d408a690705bd9c54c50a6,39.0,10.0,,,,,,,,,,,,,4.0,,,2.0,,,,,,2.0,,,,,,,,,,
